Seed;GridSize;Steps;Success
380616;3x3;8;True
692833;3x3;8;True
423174;3x3;10;True
107783;3x3;8;True
819700;3x3;8;True
30173;3x3;8;True
21138;3x3;8;True
876579;3x3;22;True
586784;3x3;10;True
603929;3x3;8;True
540574;3x3;10;True
837887;3x3;8;True
616780;3x3;10;True
942677;3x3;8;True
662826;3x3;8;True
318619;3x3;10;True
106552;3x3;8;True
218641;3x3;8;True
357942;3x3;8;True
10551;3x3;8;True
506532;3x3;8;True
322061;3x3;8;True
6530;3x3;8;True
923155;3x3;8;True
6672;3x3;10;True
781641;3x3;10;True
24654;3x3;10;True
9711;3x3;8;True
153020;3x3;8;True
76357;3x3;8;True
678234;3x3;8;True
688715;3x3;8;True
43432;3x3;8;True
77121;3x3;22;True
735398;3x3;8;True
477543;3x3;10;True
305364;3x3;10;True
660605;3x3;10;True
801842;3x3;10;True
739011;3x3;10;True
923392;3x3;8;True
114681;3x3;8;True
447550;3x3;8;True
28703;3x3;8;True
765228;3x3;8;True
395701;3x3;8;True
924362;3x3;8;True
45627;3x3;8;True
484952;3x3;8;True
507633;3x3;10;True
862038;3x3;8;True
227095;3x3;10;True
788612;3x3;8;True
370413;3x3;8;True
930914;3x3;8;True
488051;3x3;8;True
284272;3x3;8;True
890089;3x3;10;True
62318;3x3;10;True
673999;3x3;8;True
44188;3x3;8;True
946917;3x3;8;True
916282;3x3;8;True
972523;3x3;8;True
439368;3x3;8;True
550305;3x3;20;True
963334;3x3;8;True
638919;3x3;8;True
972084;3x3;8;True
67613;3x3;10;True
890066;3x3;8;True
531811;3x3;20;True
612896;3x3;8;True
92505;3x3;8;True
543390;3x3;8;True
929151;3x3;24;True
296204;3x3;22;True
547541;3x3;10;True
89962;3x3;8;True
403291;3x3;8;True
406712;3x3;8;True
806673;3x3;24;True
473270;3x3;8;True
754487;3x3;8;True
886116;3x3;8;True
119501;3x3;8;True
932354;3x3;8;True
541331;3x3;8;True
739280;3x3;8;True
780873;3x3;8;True
357454;3x3;10;True
966639;3x3;10;True
805692;3x3;8;True
776517;3x3;8;True
354458;3x3;8;True
626891;3x3;8;True
33512;3x3;8;True
484225;3x3;8;True
808870;3x3;22;True
427943;3x3;8;True
373588;3x3;8;True
3901;3x3;8;True
752498;3x3;8;True
352067;3x3;10;True
79488;3x3;8;True
720697;3x3;10;True
337790;3x3;8;True
968351;3x3;8;True
294892;3x3;10;True
524853;3x3;20;True
579786;3x3;24;True
117627;3x3;8;True
116248;3x3;22;True
499825;3x3;8;True
224854;3x3;8;True
287063;3x3;8;True
387652;3x3;8;True
85485;3x3;8;True
525474;3x3;8;True
263219;3x3;10;True
24816;3x3;8;True
852969;3x3;8;True
269870;3x3;8;True
810447;3x3;8;True
214428;3x3;20;True
728677;3x3;8;True
552442;3x3;8;True
996395;3x3;8;True
457992;3x3;8;True
961825;3x3;8;True
786645;3x3;8;True
851626;3x3;8;True
12955;3x3;10;True
366584;3x3;8;True
877073;3x3;24;True
271222;3x3;8;True
286327;3x3;8;True
986276;3x3;8;True
179789;3x3;8;True
607874;3x3;8;True
827603;3x3;8;True
916880;3x3;8;True
