Seed;GridSize;Steps;Success
896791;4x4;43;True
550596;4x4;15;True
836077;4x4;15;True
815970;4x4;15;True
319539;4x4;50;False
366448;4x4;15;True
659113;4x4;50;False
14318;4x4;50;False
91919;4x4;50;False
671516;4x4;15;True
825701;4x4;15;True
444986;4x4;50;False
904939;4x4;50;False
732680;4x4;50;False
214241;4x4;33;True
808070;4x4;50;False
11271;4x4;50;False
533172;4x4;15;True
307741;4x4;43;True
380114;4x4;50;False
337379;4x4;15;True
252384;4x4;45;True
813657;4x4;15;True
131678;4x4;50;False
885183;4x4;31;True
546956;4x4;50;False
766037;4x4;15;True
31338;4x4;43;True
576411;4x4;50;False
811384;4x4;50;False
880657;4x4;15;True
29686;4x4;50;False
8823;4x4;33;True
642596;4x4;41;True
433229;4x4;45;True
370690;4x4;27;True
975763;4x4;50;False
559248;4x4;50;False
436809;4x4;15;True
35470;4x4;45;True
784047;4x4;50;False
915196;4x4;50;False
292037;4x4;31;True
11994;4x4;39;True
138251;4x4;50;False
827624;4x4;50;False
416897;4x4;29;True
163366;4x4;17;True
728359;4x4;50;False
22804;4x4;15;True
272061;4x4;15;True
124594;4x4;39;True
368323;4x4;25;True
506816;4x4;35;True
39033;4x4;25;True
42494;4x4;50;False
895647;4x4;50;False
11692;4x4;47;True
499701;4x4;15;True
287946;4x4;33;True
772795;4x4;15;True
831192;4x4;15;True
284273;4x4;15;True
405334;4x4;50;False
221847;4x4;50;False
181508;4x4;50;False
252845;4x4;50;False
717026;4x4;47;True
33523;4x4;17;True
250032;4x4;50;False
687849;4x4;50;False
64622;4x4;15;True
159247;4x4;50;False
833372;4x4;17;True
348965;4x4;15;True
724410;4x4;50;False
642091;4x4;15;True
982984;4x4;50;False
325665;4x4;50;False
233414;4x4;50;False
216711;4x4;17;True
230260;4x4;35;True
127389;4x4;15;True
959570;4x4;50;False
631971;4x4;43;True
673184;4x4;50;False
768025;4x4;15;True
533790;4x4;25;True
412735;4x4;17;True
236748;4x4;50;False
554517;4x4;15;True
561002;4x4;15;True
409691;4x4;15;True
256440;4x4;50;False
724945;4x4;50;False
294966;4x4;15;True
274359;4x4;15;True
969316;4x4;15;True
100557;4x4;50;False
444354;4x4;17;True
455699;4x4;15;True
242384;4x4;50;False
830729;4x4;50;False
350414;4x4;17;True
996655;4x4;50;False
612860;4x4;50;False
732997;4x4;50;False
712282;4x4;15;True
845067;4x4;43;True
898408;4x4;50;False
790273;4x4;50;False
156966;4x4;15;True
394983;4x4;15;True
444564;4x4;50;False
423165;4x4;50;False
888818;4x4;50;False
8067;4x4;50;False
772800;4x4;41;True
956473;4x4;15;True
402174;4x4;15;True
491999;4x4;50;False
149740;4x4;15;True
19637;4x4;50;False
870090;4x4;15;True
644411;4x4;17;True
842968;4x4;17;True
771697;4x4;17;True
869654;4x4;33;True
334743;4x4;17;True
409604;4x4;50;False
194285;4x4;17;True
905442;4x4;45;True
636083;4x4;15;True
412400;4x4;50;False
817129;4x4;15;True
234286;4x4;50;False
836047;4x4;50;False
96988;4x4;50;False
545381;4x4;50;False
10042;4x4;50;False
478955;4x4;25;True
186504;4x4;31;True
892449;4x4;50;False
375494;4x4;29;True
569479;4x4;50;False
370868;4x4;35;True
677405;4x4;15;True
584658;4x4;50;False
820323;4x4;50;False
260448;4x4;50;False
995673;4x4;50;False
884510;4x4;15;True
645631;4x4;50;False
194572;4x4;15;True
684501;4x4;43;True
382570;4x4;27;True
415323;4x4;15;True
438968;4x4;33;True
83793;4x4;50;False
21046;4x4;17;True
689143;4x4;50;False
165732;4x4;17;True
682061;4x4;50;False
679362;4x4;27;True
852883;4x4;15;True
239312;4x4;50;False
678281;4x4;15;True
297678;4x4;50;False
413487;4x4;15;True
529212;4x4;17;True
161221;4x4;50;False
507930;4x4;50;False
891659;4x4;15;True
693032;4x4;17;True
624833;4x4;17;True
875238;4x4;23;True
876711;4x4;50;False
711060;4x4;25;True
946621;4x4;45;True
918258;4x4;45;True
