Seed;GridSize;Steps;Success
22127;5x5;30;False
760700;5x5;30;False
815237;5x5;30;False
496602;5x5;30;False
511307;5x5;30;False
744744;5x5;30;False
995969;5x5;30;False
882534;5x5;30;False
907879;5x5;30;False
760852;5x5;30;False
407933;5x5;30;False
189874;5x5;30;False
589763;5x5;30;False
53696;5x5;30;False
792249;5x5;30;False
378366;5x5;30;False
488671;5x5;30;False
452460;5x5;30;False
154101;5x5;30;False
147914;5x5;26;True
327739;5x5;24;True
282776;5x5;30;False
8881;5x5;30;False
17366;5x5;30;False
165911;5x5;30;False
415300;5x5;30;False
392109;5x5;30;False
978530;5x5;30;False
494707;5x5;30;False
195184;5x5;30;False
665321;5x5;24;True
818158;5x5;30;False
571599;5x5;30;False
513948;5x5;30;False
196453;5x5;30;False
172730;5x5;30;False
168363;5x5;30;False
399560;5x5;30;False
180833;5x5;30;False
288326;5x5;30;False
254535;5x5;30;False
674612;5x5;30;False
540253;5x5;30;False
246162;5x5;30;False
665571;5x5;30;False
238816;5x5;30;False
963353;5x5;30;False
592094;5x5;30;False
163135;5x5;30;False
777228;5x5;30;False
162133;5x5;30;False
580458;5x5;30;False
503707;5x5;30;False
528184;5x5;30;False
339153;5x5;24;True
693686;5x5;24;True
89335;5x5;30;False
79332;5x5;30;False
517965;5x5;30;False
686146;5x5;30;False
278035;5x5;24;True
398864;5x5;30;False
716297;5x5;30;False
787918;5x5;30;False
452719;5x5;30;False
277372;5x5;30;False
715397;5x5;30;False
996442;5x5;24;True
583307;5x5;30;False
376040;5x5;30;False
988161;5x5;26;True
245350;5x5;30;False
967847;5x5;30;False
876244;5x5;30;False
167165;5x5;30;False
579570;5x5;30;False
509635;5x5;30;False
708736;5x5;30;False
992953;5x5;30;False
74366;5x5;30;False
597343;5x5;30;False
801836;5x5;30;False
582133;5x5;30;False
118154;5x5;30;False
581755;5x5;30;False
183256;5x5;30;False
585201;5x5;30;False
660566;5x5;30;False
380247;5x5;30;False
976900;5x5;24;True
458733;5x5;30;False
488482;5x5;30;False
985011;5x5;30;False
766064;5x5;30;False
655529;5x5;30;False
255854;5x5;30;False
369423;5x5;30;False
15196;5x5;24;True
351781;5x5;24;True
815674;5x5;30;False
321515;5x5;30;False
104200;5x5;30;False
92833;5x5;30;False
290886;5x5;30;False
284615;5x5;30;False
