Seed;GridSize;Steps
810040;5x5;26
382134;5x5;106
22733;5x5;136
584642;5x5;74
445587;5x5;38
119952;5x5;56
101513;5x5;146
54204;5x5;26
650266;5x5;82
305611;5x5;448
593446;5x5;374
639015;5x5;370
253204;5x5;396
698749;5x5;86
322674;5x5;24
755961;5x5;484
752062;5x5;24
646124;5x5;166
363765;5x5;56
207370;5x5;356
837115;5x5;80
855896;5x5;66
794646;5x5;96
566295;5x5;48
193069;5x5;458
417011;5x5;384
366064;5x5;268
83689;5x5;124
552558;5x5;24
650213;5x5;176
667563;5x5;268
834952;5x5;186
713889;5x5;26
323527;5x5;116
193949;5x5;170
595168;5x5;312
380958;5x5;236
784575;5x5;190
412300;5x5;198
