Seed;GridSize;Steps;Success
347970;6x6;1200;Processing
199763;6x6;472;Success
948432;6x6;282;Success
750665;6x6;674;Success
504398;6x6;491;Success
867439;6x6;357;Success
942140;6x6;1202;Processing
463109;6x6;520;Success
476250;6x6;1205;Processing
719499;6x6;481;Success
1448;6x6;1201;Processing
252993;6x6;1200;Processing
216038;6x6;451;Success
812583;6x6;1202;Processing
732244;6x6;1202;Processing
904573;6x6;1206;Processing
78834;6x6;294;Success
739843;6x6;1207;Processing
89536;6x6;1201;Processing
827833;6x6;1200;Processing
352766;6x6;1200;Processing
606111;6x6;753;Success
635756;6x6;312;Success
180149;6x6;646;Success
621194;6x6;1221;Processing
320443;6x6;1200;Processing
251608;6x6;1200;Processing
959089;6x6;1202;Processing
260182;6x6;1208;Processing
716631;6x6;1207;Processing
692292;6x6;611;Success
129773;6x6;1205;Processing
834850;6x6;1205;Processing
792243;6x6;290;Success
737840;6x6;1204;Processing
727593;6x6;1201;Processing
418798;6x6;287;Success
120015;6x6;1201;Processing
85212;6x6;353;Success
574309;6x6;421;Success
589882;6x6;1201;Processing
865323;6x6;1208;Processing
409096;6x6;295;Success
681953;6x6;1211;Processing
633542;6x6;583;Success
819143;6x6;445;Success
362036;6x6;1202;Processing
828189;6x6;276;Success
272402;6x6;262;Success
184739;6x6;1205;Processing
153760;6x6;938;Success
571417;6x6;1200;Processing
202270;6x6;1205;Processing
729023;6x6;835;Success
221516;6x6;1204;Processing
855573;6x6;611;Success
846826;6x6;288;Success
996571;6x6;296;Success
129144;6x6;1202;Processing
964049;6x6;378;Success
56630;6x6;364;Success
179895;6x6;1131;Success
106852;6x6;1201;Processing
310349;6x6;313;Success
50754;6x6;784;Success
217235;6x6;1163;Success
117328;6x6;1203;Processing
539785;6x6;288;Success
187022;6x6;1200;Processing
138991;6x6;1045;Success
322684;6x6;1204;Processing
236805;6x6;1210;Processing
897690;6x6;1211;Processing
310475;6x6;1204;Processing
534504;6x6;1202;Processing
798849;6x6;287;Success
461350;6x6;243;Success
378087;6x6;1207;Processing
896980;6x6;1202;Processing
534397;6x6;1200;Processing
268274;6x6;1206;Processing
70787;6x6;1203;Processing
447808;6x6;1205;Processing
636729;6x6;409;Success
689534;6x6;1203;Processing
896927;6x6;1200;Processing
768556;6x6;791;Success
92981;6x6;486;Success
789898;6x6;1200;Processing
284155;6x6;1215;Processing
625304;6x6;522;Success
512817;6x6;1216;Processing
453846;6x6;1208;Processing
926295;6x6;417;Success
751748;6x6;233;Success
122797;6x6;601;Success
363810;6x6;1210;Processing
269491;6x6;1113;Success
843952;6x6;463;Success
530537;6x6;1204;Processing
496558;6x6;758;Success
964431;6x6;267;Success
85212;6x6;353;Success
574309;6x6;421;Success
589882;6x6;1201;Processing
865323;6x6;1208;Processing
409096;6x6;295;Success
681953;6x6;1211;Processing
633542;6x6;583;Success
819143;6x6;445;Success
362036;6x6;1202;Processing
828189;6x6;276;Success
272402;6x6;262;Success
184739;6x6;1205;Processing
153760;6x6;938;Success
571417;6x6;1200;Processing
202270;6x6;1205;Processing
729023;6x6;835;Success
221516;6x6;1204;Processing
855573;6x6;611;Success
846826;6x6;288;Success
996571;6x6;296;Success
129144;6x6;1202;Processing
964049;6x6;378;Success
56630;6x6;364;Success
179895;6x6;1131;Success
106852;6x6;1201;Processing
310349;6x6;313;Success
50754;6x6;784;Success
217235;6x6;1163;Success
117328;6x6;1203;Processing
539785;6x6;288;Success
187022;6x6;1200;Processing
138991;6x6;1045;Success
322684;6x6;1204;Processing
236805;6x6;1210;Processing
897690;6x6;1211;Processing
310475;6x6;1204;Processing
534504;6x6;1202;Processing
798849;6x6;287;Success
461350;6x6;243;Success
378087;6x6;1207;Processing
896980;6x6;1202;Processing
534397;6x6;1200;Processing
268274;6x6;1206;Processing
70787;6x6;1203;Processing
447808;6x6;1205;Processing
636729;6x6;409;Success
689534;6x6;1203;Processing
896927;6x6;1200;Processing
768556;6x6;791;Success
92981;6x6;486;Success
789898;6x6;1200;Processing
284155;6x6;1215;Processing
625304;6x6;522;Success
512817;6x6;1216;Processing
453846;6x6;1208;Processing
926295;6x6;417;Success
751748;6x6;233;Success
122797;6x6;601;Success
363810;6x6;1210;Processing
269491;6x6;1113;Success
843952;6x6;463;Success
530537;6x6;1204;Processing
496558;6x6;758;Success
964431;6x6;267;Success
85212;6x6;353;Success
574309;6x6;421;Success
589882;6x6;1201;Processing
865323;6x6;1208;Processing
409096;6x6;295;Success
681953;6x6;1211;Processing
633542;6x6;583;Success
819143;6x6;445;Success
362036;6x6;1202;Processing
828189;6x6;276;Success
272402;6x6;262;Success
184739;6x6;1205;Processing
153760;6x6;938;Success
571417;6x6;1200;Processing
202270;6x6;1205;Processing
729023;6x6;835;Success
221516;6x6;1204;Processing
855573;6x6;611;Success
846826;6x6;288;Success
996571;6x6;296;Success
129144;6x6;1202;Processing
964049;6x6;378;Success
56630;6x6;364;Success
179895;6x6;1131;Success
106852;6x6;1201;Processing
310349;6x6;313;Success
50754;6x6;784;Success
217235;6x6;1163;Success
117328;6x6;1203;Processing
539785;6x6;288;Success


